Position
A1
C1
E1
G1
B1
D1
F1
H1
I1
K1
M1
O1
J1
L1
N1
P1
A2
C2
E2
G2
B2
D2
F2
H2
I2
K2
M2
O2
J2
L2
N2
P2
A3
C3
E3
G3
B3
D3
F3
H3
I3
K3
M3
O3
J3
L3
N3
P3
A4
C4
E4
G4
B4
D4
F4
H4
I4
K4
M4
O4
J4
L4
N4
P4
A5
C5
E5
G5
B5
D5
F5
H5
I5
K5
M5
O5
J5
L5
N5
P5
A6
C6
E6
G6
B6
D6
F6
H6
I6
K6
M6
O6
J6
L6
N6
P6
A7
C7
E7
G7
B7
D7
F7
H7
I7
K7
M7
O7
J7
L7
N7
P7
A8
C8
E8
G8
B8
D8
F8
H8
I8
K8
M8
O8
J8
L8
N8
P8
A9
C9
E9
G9
B9
D9
F9
H9
I9
K9
M9
O9
J9
L9
N9
P9
A10
C10
E10
G10
B10
D10
F10
H10
I10
K10
M10
O10
J10
L10
N10
P10
A11
C11
E11
G11
B11
D11
F11
H11
I11
K11
M11
O11
J11
L11
N11
P11
A12
C12
E12
G12
B12
D12
F12
H12
I12
K12
M12
O12
J12
L12
N12
P12
A13
C13
E13
G13
B13
D13
F13
H13
I13
K13
M13
O13
J13
L13
N13
P13
A14
C14
E14
G14
B14
D14
F14
H14
I14
K14
M14
O14
J14
L14
N14
P14
A15
C15
E15
G15
B15
D15
F15
H15
I15
K15
M15
O15
J15
L15
N15
P15
A16
C16
E16
G16
B16
D16
F16
H16
I16
K16
M16
O16
J16
L16
N16
P16
A17
C17
E17
G17
B17
D17
F17
H17
I17
K17
M17
O17
J17
L17
N17
P17
A18
C18
E18
G18
B18
D18
F18
H18
I18
K18
M18
O18
J18
L18
N18
P18
A19
C19
E19
G19
B19
D19
F19
H19
I19
K19
M19
O19
J19
L19
N19
P19
A20
C20
E20
G20
B20
D20
F20
H20
I20
K20
M20
O20
J20
L20
N20
P20
A21
C21
E21
G21
B21
D21
F21
H21
I21
K21
M21
O21
J21
L21
N21
P21
A22
C22
E22
G22
B22
D22
F22
H22
I22
K22
M22
O22
J22
L22
N22
P22
